time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,,RNN,LSTM,UNIXtime,,,TEST
8/6/2021 23:00,2895.52,2875.85,2892.57,10559.67,30473541.91,2892.36,direct,,,2810.535136,2925.448598,1628290800,,,2892.57
8/7/2021 0:00,2920.3,2866.96,2892.36,14200.92,41058104.11,2919.82,direct,,,2935.382641,2958.361624,1628294400,,,2892.36
8/7/2021 1:00,2928.46,2887.03,2919.82,15922.82,46324471.55,2916.26,direct,,,2946.151665,2960.528827,1628298000,,,2919.82
8/7/2021 2:00,2934.32,2911.11,2916.26,14758.03,43140227.85,2928.23,direct,,,2811.774293,2905.038418,1628301600,,,2916.26
8/7/2021 3:00,2940.76,2909.96,2928.23,12451.42,36451881.88,2937.78,direct,,,2825.762449,2924.853768,1628305200,,,2928.23
8/7/2021 4:00,2984.73,2927.86,2937.78,27497.22,81535740.9,2959.7,direct,,,2954.846092,3015.04639,1628308800,,,2937.78
8/7/2021 5:00,2982.1,2957.71,2959.7,12663.05,37610817.45,2968.46,direct,,,3073.1279,2981.521224,1628312400,,,2959.7
8/7/2021 6:00,2974.94,2945.25,2968.46,13160.46,38948038.01,2961.72,direct,,,2893.718909,2975.403146,1628316000,,,2968.46
8/7/2021 7:00,2974.09,2948.76,2961.72,8964.46,26522556.19,2958.4,direct,,,3027.537808,2933.667776,1628319600,,,2961.72
8/7/2021 8:00,2980.03,2946.09,2958.4,10227.92,30332603.75,2979.45,direct,,,3035.642427,2976.172605,1628323200,,,2958.4
8/7/2021 9:00,3045.94,2970.35,2979.45,38368.11,115640604.3,3044.19,direct,,,3089.122244,3054.905549,1628326800,,,2979.45
8/7/2021 10:00,3089.95,3037.92,3044.19,36102.57,110690419.5,3071.61,direct,,,3033.829197,3072.285754,1628330400,,,3044.19
8/7/2021 11:00,3115.13,3058.03,3071.61,23171.97,71487430.53,3107.29,direct,,,3183.729334,3098.403151,1628334000,,,3071.61
8/7/2021 12:00,3172.52,3070.23,3107.29,61340.72,191745826.8,3093.39,direct,,,3207.536091,3112.445282,1628337600,,,3107.29
8/7/2021 13:00,3126.96,3056.65,3093.39,31987.51,98844487.32,3057.68,direct,,,2977.446477,3116.203995,1628341200,,,3093.39
8/7/2021 14:00,3103.92,3057.68,3057.68,23655.75,72963558.86,3084.7,direct,,,3083.435273,3069.091418,1628344800,,,3057.68
8/7/2021 15:00,3109.32,3069.3,3084.7,20586.36,63679461.97,3085.09,direct,,,3130.625928,3026.041377,1628348400,,,3084.7
8/7/2021 16:00,3095.81,2999.4,3085.09,59655.29,181850245.8,3092.54,direct,,,2972.085567,3114.311482,1628352000,,,3085.09
8/7/2021 17:00,3094.1,3032.39,3092.54,26099.91,79903456.76,3048.9,direct,,,2966.396766,2998.59315,1628355600,,,3092.54
8/7/2021 18:00,3075.44,3030.28,3048.9,31827.09,97177522.95,3059.8,direct,,,3047.25482,3008.640144,1628359200,,,3048.9
8/7/2021 19:00,3084.32,3038.72,3059.8,13539.01,41441289.51,3078.81,direct,,,3188.631153,3055.103163,1628362800,,,3059.8
8/7/2021 20:00,3097.44,3060.39,3078.81,15276.83,47060611.76,3081.66,direct,,,3127.145302,3050.473601,1628366400,,,3078.81
8/7/2021 21:00,3131.14,3067.27,3081.66,25978.83,80782048.44,3074.07,direct,,,3058.945576,3059.191501,1628370000,,,3081.66
8/7/2021 22:00,3114.22,3067.28,3074.07,19317.52,59790738.94,3091.36,direct,,,3196.558981,3095.440595,1628373600,,,3074.07
8/7/2021 23:00,3172.22,3090.1,3091.36,26296.35,82514356.89,3162.43,direct,,,3231.149604,3097.030948,1628377200,,,3091.36
8/8/2021 0:00,3190.38,3135,3162.43,32892.16,103971739.8,3162.76,direct,,,3056.428009,3139.102555,1628380800,,,3162.43
8/8/2021 1:00,3164.88,3097.33,3162.76,23238.58,72643947.67,3109.75,direct,,,2993.725228,3169.270615,1628384400,,,3162.76
